n,S,I,R
0,999.000000,1.000000,0.000000
1,998.500500,1.399500,0.100000
2,997.801799,1.958251,0.239950
3,996.824826,2.739399,0.435775
4,995.459476,3.830809,0.709715
5,993.552768,5.354436,1.092796
6,990.892811,7.478950,1.628239
7,987.187392,10.436473,2.376134
8,982.036015,14.544203,3.419782
9,974.894549,20.231249,4.874202
10,965.032882,28.069791,6.897327
11,951.488746,38.806948,9.704306
12,933.026559,53.388440,13.585001
13,908.120143,72.956012,18.923845
14,874.993731,98.786823,26.219446
15,831.774806,132.127066,36.098128
16,776.824824,173.864342,49.310835
17,709.293755,224.008976,66.697269
18,629.849672,281.052162,89.098167
19,541.339366,341.457252,117.203383
20,448.917240,399.733652,151.349108
21,359.193576,449.483951,191.322473
22,278.467702,485.261430,236.270868
23,210.902884,504.300104,284.797011
24,157.723711,507.049267,335.227022
25,117.736865,496.331187,385.931948
26,88.518626,475.916307,435.565067
27,67.454897,449.388405,483.156698
28,52.298173,419.606289,528.095538
29,41.325852,388.617981,570.056167
30,33.295867,357.786168,608.917965
31,27.339467,327.963951,644.696582
32,22.856287,299.650736,677.492977
33,19.431835,273.110114,707.458051
34,16.778320,248.452618,734.769062
35,14.694011,225.691665,759.614324
36,13.035853,204.780656,782.183490
37,11.701108,185.637336,802.661556
38,10.615027,168.159684,821.225290
39,9.722517,152.236225,838.041258
40,8.982457,137.752662,853.264880
