n,S,I,R
0,999.000000,1.000000,0.000000
1,998.920080,0.979920,0.100000
2,998.841771,0.960237,0.197992
3,998.765041,0.940943,0.294016
4,998.689859,0.922031,0.388110
5,998.616193,0.903494,0.480313
6,998.544013,0.885324,0.570663
7,998.473290,0.867515,0.659195
8,998.403995,0.850058,0.745946
9,998.336099,0.832949,0.830952
10,998.269574,0.816179,0.914247
11,998.204393,0.799742,0.995865
12,998.140528,0.783633,1.075839
13,998.077954,0.767843,1.154203
14,998.016645,0.752368,1.230987
15,997.956575,0.737202,1.306224
16,997.897719,0.722337,1.379944
17,997.840054,0.707769,1.452178
18,997.783554,0.693491,1.522954
19,997.728198,0.679498,1.592304
20,997.673962,0.665785,1.660253
21,997.620823,0.652345,1.726832
22,997.568759,0.639174,1.792066
23,997.517750,0.626266,1.855984
24,997.467773,0.613617,1.918611
25,997.418808,0.601220,1.979972
26,997.370834,0.589072,2.040094
27,997.323832,0.577166,2.099001
28,997.277783,0.565499,2.156718
29,997.232666,0.554066,2.213268
30,997.188463,0.542862,2.268675
31,997.145156,0.531883,2.322961
32,997.102727,0.521124,2.376149
33,997.061158,0.510580,2.428261
34,997.020432,0.500249,2.479319
35,996.980531,0.490125,2.529344
36,996.941439,0.480204,2.578357
37,996.903141,0.470482,2.626377
38,996.865619,0.460956,2.673425
39,996.828858,0.451621,2.719521
40,996.792843,0.442474,2.764683
