time_min,analytic_g_L,your_euler_g_L,scipy_g_L
0.0,0.0,0.0,0.0
0.5,0.4817100911429808,0.5,0.4817100911405036
1.0,0.9286134904996146,0.9625,0.9286134904949233
1.5,1.3432252082708196,1.3903125,1.343225208278621
2.0,1.7278785287885476,1.7860390625,1.7278785290914316
2.5,2.084738141393519,2.1520861328125,2.084738141366731
3.0,2.4158123225215116,2.4906796728515626,2.415812322869171
3.5,2.7229642375545664,2.8038786973876952,2.7229642374316914
4.0,3.0079224260398236,3.093587795083618,3.0079224265323727
4.5,3.2722905292830053,3.3615687104523464,3.2722905294467552
5.0,3.517556315059902,3.6094510571684206,3.5175563148383815
5.5,3.7451000502336718,3.8387422278807892,3.7451000505418053
6.0,3.956202268396006,4.05083656078973,3.9562022689797893
6.5,4.15205097624562,4.2470238187305,4.152050976483539
7.0,4.333748339258964,4.428497032325712,4.333748339073857
7.5,4.502316884277668,4.596359754901283,4.5023168838854435
8.0,4.658705253918653,4.751632773283687,4.658705253549888
8.5,4.803793545190618,4.89526031528741,4.803793545095968
9.0,4.938398262360723,5.028115791640854,4.938398262517445
9.5,5.063276911944386,5.15100710726779,5.063276912255903
10.0,5.179132265677135,5.264681574222706,5.179132266058812
10.5,5.286616315458982,5.369830456156003,5.286616315846817
11.0,5.386333942528306,5.4670931719443026,5.38633394286361
11.5,5.47884632151401,5.55706118404848,5.478846321724481
12.0,5.564674078522756,5.6402815952448435,5.564674078512009
12.5,5.644300221033809,5.71726047560148,5.6443002206990736
13.0,5.718172856089909,5.78846593993137,5.7181728554099
13.5,5.786707712081132,5.854330994436517,5.786707711295997
14.0,5.850290478313454,5.9152561698537784,5.850290477649461
14.5,5.909278975528242,5.971611957114745,5.909278975225901
15.0,5.964005169587571,6.023741060331139,5.964005169782117
15.5,6.014777039657666,6.071960480806304,6.014777040139767
16.0,6.061880311403916,6.1165634447458315,6.06188031154614
16.5,6.105580064951264,6.157821186389894,6.105580064209868
17.0,6.146122226658979,6.195984597410652,6.146122225785301
17.5,6.18373495310499,6.231285752604853,6.18373495285869
18.0,6.218629915068334,6.263939321159489,6.218629915472978
18.5,6.25100348873551,6.294143872072527,6.25100348868981
19.0,6.2810378608344095,6.322083081667087,6.281037859805522
19.5,6.308902053915132,6.347926850542056,6.3089020533968085
20.0,6.334752877547573,6.371832336751401,6.334752877903871
20.5,6.358735810788799,6.393944911495046,6.358735810511095
21.0,6.380985820886398,6.414399043132917,6.380985819851098
21.5,6.401628122825191,6.433319114897948,6.401628122770774
22.0,6.420778883991733,6.450820181280602,6.420778884158054
22.5,6.438545877922226,6.467008667684557,6.438545876796371
23.0,6.45502909081288,6.481983017608216,6.455029090556753
23.5,6.4703212842059505,6.4958342912876,6.470321284393564
24.0,6.484508517018049,6.50864671944103,6.484508515863476
24.5,6.4976706298485,6.520498215482953,6.497670629752458
25.0,6.509881694293272,6.531460849321732,6.50988169417564
25.5,6.521210429793047,6.541601285622602,6.521210428742351
26.0,6.531720590361304,6.550981189200907,6.531720590624512
26.5,6.5414713233687705,6.559657600010839,6.54147132241009
27.0,6.550517502403376,6.5676832800100255,6.55051750198407
27.5,6.558910036078894,6.575107034009274,6.558910036054745
28.0,6.566696154530148,6.581974006458578,6.566696153487083
28.5,6.573919675207082,6.588325955974185,6.5739196754979785
29.0,6.580621249463467,6.594201509276122,6.580621248232342
29.5,6.586838591327975,6.599636396080412,6.58683859143512
30.0,6.59260668974505,6.604663666374381,6.592606688745567
30.5,6.5979580054799944,6.609313891396303,6.597958005281194
31.0,6.602922653796376,6.61361534954158,6.602922653155262
31.5,6.607528573933811,6.617594198325961,6.60752857350133
32.0,6.611801686339866,6.621274633451514,6.61180168591172
32.5,6.615766038540933,6.62467903594265,6.615766037998344
33.0,6.619443940472985,6.627828108246951,6.619443940094153
33.5,6.622856090033802,6.630741000128429,6.6228560895061275
34.0,6.6260216895632285,6.6334354251187975,6.626021689080237
34.5,6.628958553906979,6.635927768234888,6.628958553516025
35.0,6.631683210672124,6.638233185617271,6.63168320992952
35.5,6.634210993238468,6.640365696695976,6.634210993091488
36.0,6.636556127049248,6.642338269443777,6.636556125942082
36.5,6.638731809666769,6.644162899235494,6.638731809797871
37.0,6.640750285043492,6.645850681792831,6.640750283762464
37.5,6.642622912426561,6.647411880658369,6.642622912679147
38.0,6.6443602302835245,6.648855989608991,6.64436022919966
38.5,6.645972015609004,6.650191790388317,6.645972015539966
39.0,6.647467338946078,6.651427406109193,6.647467338427337
39.5,6.648854615432003,6.652570350651004,6.648854614529804
40.0,6.650141652155557,6.653627574352178,6.650141652280585
40.5,6.6513356920925,6.654605506275765,6.65133569083203
41.0,6.652443454866415,6.655510093305083,6.652443454984656
41.5,6.653471174564311,6.656346836307202,6.65347117393499
42.0,6.654424634819807,6.657120823584162,6.6544246339044415
42.5,6.655309201361316,6.65783676181535,6.655309201552914
43.0,6.656129852208425,6.658499004679198,6.6561298510501254
43.5,6.65689120568638,6.6591115793282585,6.656891205478758
44.0,6.657597546416347,6.659678210878639,6.657597546264158
44.5,6.658252849427702,6.660202345062742,6.658252848132377
45.0,6.658860802528058,6.660687169183036,6.658860802648904
45.5,6.659424827056907,6.661135631494308,6.659424826611016
46.0,6.659948097139676,6.661550459132235,6.659948095896822
46.5,6.660433557550555,6.6619341746973175,6.660433557762472
47.0,6.660883940284619,6.662289111595019,6.660883939723623
47.5,6.661301779932502,6.662617428225392,6.661301778727661
48.0,6.661689427944155,6.6629211211084876,6.66168942815569
48.5,6.662049065861954,6.663202037025351,6.662049065370075
49.0,6.662382717597629,6.663461884248449,6.662382716325864
49.5,6.662692260822103,6.663702242929816,6.662692260942439
50.0,6.662979437532347,6.663924574710079,6.662979437282007
50.5,6.6632458638547005,6.664130231606824,6.66324586257355
51.0,6.663493039139851,6.664320464236312,6.663493038956707
51.5,6.6637223544006305,6.664496429418588,6.6637223544898285
52.0,6.663935100140134,6.6646591972121945,6.66393509907719
52.5,6.664132473614203,6.6648097574212795,6.664132472812723
53.0,6.6643155855691445,6.664949025614684,6.664315585833492
53.5,6.66448546649261,6.665077848693582,6.66448546600151
54.0,6.664643072412807,6.665197010041563,6.664643071121426
54.5,6.6647892902786765,6.665307234288446,6.664789290112639
55.0,6.6649249429513215,6.665409191716813,6.664924943114819
55.5,6.665050793834771,6.665503502338051,6.665050792964198
56.0,6.66516755117214,6.665590739662697,6.665167550017839
56.5,6.665275872031366,6.665671434187995,6.665275872109093
57.0,6.6653763660029455,6.665746076623895,6.665376366044834
57.5,6.6654695986304935,6.665815120877103,6.6654695976436935
58.0,6.665556094593415,6.665878986811321,6.665556093516786
58.5,6.665636340659609,6.665938062800472,6.665636340755586
59.0,6.665710788424824,6.665992708090437,6.665710788501928
59.5,6.665779856854074,6.666043254983654,6.66577985595551
60.0,6.665843934639422,6.66609001085988,6.665843933378647
